Current_Partner,Former_Partner,When_Relationship_Start,When_Relationship_end,Relationship_end_Since,Reason_Relationship_end,Reason_Relationship_end_misc,Relationship_Problem_end_time,Relationship_Status,Relationship_Status_misc,Years_With_Partner,Number_Children,Age_Children,Youngest_Age_Children,Oldest_Age_Children,Highest_Education_Completed,Education_Impacted_By_Partner,Both_Physician_or_Student,Stay_at_home_parent,Small_Business_Owner,Contractor_Freelancer,Part_time_employment_<30_hours,Full_Time_Employment_30<,Volunteer,Student,Unemployed_looking_work,Work_Misc,Career_Impact_Partner,Life_Satisfaction,Stress_Factor_Lack_Time,Stress_Factor_Business,Stress_Factor_Work_Overload,Stress_Factor_Work_Issues_Home,Primary_Cause_Stress,Primary_Cause_Stress_misc,Family_Quality_Life,Mental_QoL,Physical_QoL,Emotional_QoL,Sexual_QoL,Overall_QoL,Time_Alone_Partner,Quality_Time_Partner,Partner_Tired_After,Partner_Irritable_After,Partner_Busy_Work_After,Partner_Work_No_Participation,Partner_Argue_Work_Time,Partner_Participant_Household_Activities,Pride_Medical_Family,Partner_Show_Appreciation,Sacrificses_Worthwhile,Partner_Time_Children,Children_3_Concerns,Children_Health_Conditions,Children_Mental_Conditions,Children_Discipline,Children_Effective_Comunication,Childreen_Screentime,Children_Academic_Performance,Children_Entitlement,Children_Friends,Children_Bullying,Children_Substances,Children_Self_Esteem,Children_Nutrition,Children_Sleep,Children_Physical_Image,Children_Extracurricular,Children_Body_Image,Children_Other,Community_Left_Out,Community_Unknwon,Community_Isolated,Community_Detached,Fullfilment_Individual,Fulfillment_as_Partner,Fulfillment_as_Parent,7_Days_Sleep_Quality,7_Days_Sleep_Refresh,7_Day_Sleep_Problem,7_Day_Problem_Fall_Asleep,Time_Moderate_Exercise,Time_Vigorous_Exercise,Time_Strength_Training,Frequency_Engage_Hobbies,Frequency_Relaxation_Techniques,Frequency_Draw_Religion,Frequency_Worship_Services,Participate_Counseling,Participate_Counseling_if_Problem,Participate_Individual_Counseling,Participate_Family_Counseling,Participate_Marriage_Enrichment,Participate_Physiciatric_Care,Participate_Support_Groups,Participate_Stress_Management,Participate_Addiction_Program,Participate_Life_Coaching,Participate_Pastoral,Participate_Support_Groups,Household_Annual_Salary,Household_Loan_End_Residency,Household_Loan_Current,Years_Post_residemcu,Alternative_Income,Education_Current_You,Satisfaction_Financial_Life,Frequency_Finance_Conflict,Frequency_Financial_Decision,Frequency_Savings_Decision,Frequency_Investment_Decision,Hours_Partner_Work,At_Call_Days_Per_Month,What is your physician partner's primary practice setting?,Number_Hospitals_Hired_Cumulative,Partner_Specialty,Partner_Specialty_Misc,Partner_Surgical_Specialty,Partner_Surgical_Specialty_Misc,Week_Vacation_Year,Frequency_Medical_Conference_Together,Frequency_Alone_Travel,Opinion_Workplace_Family_Supportive,Opinion_Workplace_Family_Supportive_Misc,Opinion_Partner_More_Effort,Opinion_Partner_More_Effort_Misc,Frequency_Thought_Breakup,Choose_Physician_Again,Choose_Partner_Again,Recommend_Physician_Career_Family,Age,Gender,Gender_Misc,Partner_Gender,Partner_Gender_Misc,Region_Country,Region_Other
Yes,,,,,,,,Married,,>20 years,4,,33,43,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,Yes,,Volunteer,,,,Not at all,100,Somewhat stressful,Somewhat stressful,Somewhat stressful,Somewhat stressful,isolation from friends and family,,100,100,97,100,100,100,46-60 minutes,46-60 minutes,Every day,A few times a month,A few times a month,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Not applicable,,,,,,,academic performance,,friends,,,,,,,extra-curricular activities,,,Usually,Usually,Usually,Usually,Somewhat fulfilled,Somewhat fulfilled,Very fulfilled,poor,not at all,quite a bit,quite a bit,121-150 minutes per week,<30 minutes per week,none,Weekly,Seldom,Seldom,Seldom,I never have.,Would definitely go,,,,,,,,,,,$200K-$299K,$0 ,$0 ,0,No,,Very dissatisfied,Usually,Usually,,,,3,Hospital/Multi-physician group,4+,,,Other (please specify),Anasthesia ,6 weeks,Sometimes,Never,Neither agree nor disagree,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,>20 years,3,,31,44,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,,,,,,,Not at all,56,Somewhat stressful,Somewhat stressful,Somewhat not stressful,Somewhat stressful,health issues,,58,54,48,51,51,51,91-120 minutes,>120 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,>20 years,2,,47,50,"Bachelor's degree (e.g. BA, BS)",Not at all,,,,,,,,,,Retired,Negatively,92,Neither stressful or not stressful,Neither stressful or not stressful,Somewhat stressful,Neither stressful or not stressful,health issues,,77,56,56,56,67,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,>20 years,1,38,,,"Master's degree (e.g. MA, MS, Med)",Not at all,,Yes,,,,,,,,,Not at all,74,Somewhat stressful,Somewhat stressful,Somewhat stressful,Very stressful,health issues,,91,65,75,75,80,68,>120 minutes,46-60 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,6-10 years,1,1,,,"Bachelor's degree (e.g. BA, BS)",Not at all,,,,,,Yes,,,,,,80,Very stressful,Somewhat not stressful,Somewhat stressful,Somewhat stressful,household management,,80,65,80,65,50,68,46-60 minutes,21-45 minutes,Once a week,Once a week,A few times a month,Sometimes,Rarely,Sometimes,Frequently,Sometimes,Sometimes,60-89 minutes,,,mental and emotional needs,,effective communication,,,,,,,self-esteem/confidence,,,,,,,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat fulfilled,Somewhat fulfilled,Very fulfilled,good,quite a bit,not at all,not at all,30-60 minutes per week,<30 minutes per week,three times per week,Weekly,Weekly,Seldom,Never,"Yes, I did in the past.",Would definitely go,Individual counseling or therapy,,,Psychiatric care,Support group,,,,,,$400K-$499K,$200K-$299K,$200K-$299K,1-5 years,No,,Satisfied,Rarely,Usually,,,50-59 hrs,6,Hospital/Multi-physician group,1,radiology,,,,5 weeks,Never,Yearly,Agree,,Neither agree nor disagree,,,,,,,,,,,,
Yes,,,,,,,,Married,,6-10 years,4,,1,7,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,,,,,,,Positively,80,Very stressful,Somewhat stressful,Somewhat stressful,Very stressful,marital issues,,50,80,70,80,70,80,21-45 minutes,21-45 minutes,A few times a week,A few times a week,Every day,Always,Frequently,Sometimes,Sometimes,Frequently,Sometimes,45-59 minutes,,,mental and emotional needs,discipline/behavior,effective communication,,,,,,,,,,,,,,Usually,Usually,Usually,Sometimes,Somewhat fulfilled,Somewhat unfulfilled,Somewhat fulfilled,very poor,not at all,quite a bit,somewhat,<30 minutes per week,<30 minutes per week,none,Seldom,Weekly,Daily,Weekly,"Yes, I did in the past.",Would probably go,,Marriage or family counseling,,,,,,,,,$200K-$299K,$0 ,$0 ,1-5 years,No,,Dissatisfied,Usually,Sometimes,I do.,My spouse/partner does.,60-69 hrs,7+,Hospital/Multi-physician group,3,pediatrics or related specialty,,,,4 weeks,Never,Every few years,Agree,Somewhat flexible with random hours off during the school year for kidâ€™s school events. Also gave paternity leave. ,Neither agree nor disagree,,,,,,37,Female,Woman,Male,Man,Other (please specify),Mid south 
Yes,,,,,,,,Married,,>20 years,3,,8,14,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,,,,,,,Negatively,80,Somewhat stressful,Somewhat stressful,Somewhat stressful,Somewhat stressful,lack of time,,80,70,75,70,50,75,<20 minutes,46-60 minutes,A few times a year or less,Once a week,Every day,Frequently,Never,Sometimes,Frequently,Sometimes,Sometimes,45-59 minutes,,,mental and emotional needs,,,,,,friends,,,self-esteem/confidence,,,,,,,Never,Never,Never,Rarely,Somewhat fulfilled,Neither unfulfilled or fulfilled,Very fulfilled,good,somewhat,a little bit,not at all,>150 minutes per week (e.g. 2 1/2 hrs),<30 minutes per week,three times per week,Monthly,Seldom,Daily,2-3 times per month,"Yes, I did in the past.",Would definitely go,Individual counseling or therapy,,,,,,,,,,$500K-$599K,$300K-$399K,$1-$99K,6-10 years,Yes,,Satisfied,Never,Always,,,60-69 hrs,2,Private practice,2,surgical specialty,,Orthopaedic,,1 week,Sometimes,Every other year,Neither agree nor disagree,,Neither agree nor disagree,,,,,,42,Female,Woman,Male,Man,Midwest,
Yes,,,,,,,,Married,,>20 years,2,,33,34,"Professional degree (e.g. JD, MD, DO, MBBS)",Positively,No,,,,Yes,,,,,,Negatively,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,>20 years,2,,47 years,50 years,"Associate degree (e.g. AA, AS)",Not at all,,,,,,,Volunteer,,,,Not at all,90,Somewhat stressful,Neither stressful or not stressful,Somewhat stressful,Somewhat stressful,lack of time,,85,90,97,85,75,90,61-90 minutes,91-120 minutes,A few times a month,Once a month or less,Once a week,Sometimes,Rarely,Sometimes,Sometimes,Frequently,Frequently,Not applicable,,medical/health conditions,mental and emotional needs,,,,,,,,"substances (drugs, alcohol, vaping)",,,,,,,,Never,Rarely,Never,Rarely,Somewhat fulfilled,Somewhat fulfilled,Neither unfulfilled or fulfilled,very good,quite a bit,not at all,not at all,30-60 minutes per week,<30 minutes per week,none,Weekly,2-3 times per month,Daily,Weekly,I never have.,Would probably go,,,,,,,,,,,$200K-$299K,$0 ,$0 ,31+ years,Yes,,Satisfied,Rarely,Sometimes,My spouse/partner does.,My spouse/partner does.,30-39 hrs,4,Other (please specify),1,psychiatry,,,,3 weeks,Rarely,Few times a year,Neither agree nor disagree,,Neither agree nor disagree,,,,,,79,Female,Woman,Male,Man,Pacific,
Yes,,,,,,,,Married,,11-20 years,4,,1,8,"Associate degree (e.g. AA, AS)",Negatively,,Yes,Yes,,,Yes,,,,,Positively,,Very stressful,Very stressful,Very stressful,Very stressful,lack of time,,38,51,42,53,41,46,46-60 minutes,<20 minutes,Every day,Every day,Every day,Always,Sometimes,Never,Never,Frequently,Rarely,0-19 minutes,,,mental and emotional needs,,,,academic performance,,,,,,nutrition/diet,,,,,,Rarely,Rarely,Rarely,Rarely,Somewhat fulfilled,Somewhat fulfilled,Somewhat unfulfilled,poor,a little bit,quite a bit,quite a bit,61-120 minutes per week,30-60 minutes per week,once per week,2-3 times per month,Monthly,3-5 times per week,Weekly,I never have.,Would probably go,,,,,,,,,,,$200K-$299K,$1-$99K,$100K-$199K,0,Yes,4th year residency (PGY4),Very dissatisfied,Sometimes,Always,,,>90 hours,5,Hospital/Multi-physician group,1,anesthesiology,,,,3 weeks,Sometimes,Twice a year,Neither agree nor disagree,,Strongly agree,More residency spots to spread the load so work hours aren't so much. Other programs have residents graduate with 50 hours average. Ours is 75 in hospital + studying. 15-25 extra hours a week would make all the difference in our lives for 4 years. ,7,Maybe,Yes,No,29,Female,Woman,Male,Man,Mountain West,
Yes,,,,,,,,Married,,>20 years,3,,25,31,"Bachelor's degree (e.g. BA, BS)",Not at all,,,,,,Yes,,,,,Positively,92,Neither stressful or not stressful,Somewhat stressful,Somewhat stressful,Neither stressful or not stressful,,,95,80,65,80,50,85,>120 minutes,>120 minutes,A few times a week,A few times a month,A few times a week,Sometimes,Rarely,Rarely,Sometimes,Frequently,Frequently,Not applicable,,,,,,,,,,,,self-esteem/confidence,,,,extra-curricular activities,body image,,Rarely,Sometimes,Rarely,Rarely,Somewhat fulfilled,Somewhat fulfilled,Very fulfilled,fair,somewhat,somewhat,somewhat,>150 minutes per week (e.g. 2 1/2 hrs),61-120 minutes per week,once per week,3-5 times per week,Weekly,3-5 times per week,Seldom,I never have.,Would definitely go,,,,,,,,,,,$400K-$499K,$0 ,$0 ,21-25 years,No,,Satisfied,Rarely,Always,,,50-59 hrs,3,Private practice,1,internal medicine or related specialty,,,,3 weeks,Sometimes,Several times a year,Agree,,Neither agree nor disagree,,,,,,55,Female,Woman,Male,Man,Midwest,
Yes,,,,,,,,Married,,11-20 years,2,,8,13,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,,,,,,,Negatively,40,Somewhat stressful,Somewhat stressful,Very stressful,Very stressful,marital issues,,65,50,75,60,74,65,21-45 minutes,46-60 minutes,A few times a week,Every day,A few times a week,Frequently,Sometimes,Rarely,Rarely,Rarely,Sometimes,20-44 minutes,,,mental and emotional needs,,,,,,,,,self-esteem/confidence,,sleep habits,,,,,Usually,Sometimes,Usually,Sometimes,Somewhat unfulfilled,Somewhat unfulfilled,Neither unfulfilled or fulfilled,fair,somewhat,a little bit,a little bit,>150 minutes per week (e.g. 2 1/2 hrs),30-60 minutes per week,once per week,Monthly,Weekly,Seldom,Seldom,"Yes, 1-2 times each month.",Would probably not go,Individual counseling or therapy,Marriage or family counseling,,,,Stress management,,,,,$300K-$399K,$400K-$499K,$0 ,11-15 years,No,,Neither satisfied nor dissatisfied,Rarely,Sometimes,My spouse/partner does.,My spouse/partner does.,60-69 hrs,7+,Hospital/Multi-physician group,3,obstetrics and gynecology,,,,5 weeks,Sometimes,Yearly,Neither agree nor disagree,,Agree,More vacation. Less call. ,51,Maybe,Maybe,No,43,Female,Woman,Male,Man,Midwest,
Yes,,,,,,,,Married,,1-5 years,0,,,,"Bachelor's degree (e.g. BA, BS)",Not at all,,,,,,Yes,,,,,Positively,56,Very stressful,Somewhat stressful,Very stressful,Very stressful,household management,,71,73,50,49,3,64,21-45 minutes,46-60 minutes,Every day,Every day,A few times a month,Frequently,Frequently,Rarely,Sometimes,Frequently,Always,Not applicable,not applicable,,,,,,,,,,,,,,,,,,Sometimes,Rarely,Usually,Usually,Neither unfulfilled or fulfilled,Not fulfilled at all,,good,somewhat,a little bit,not at all,61-120 minutes per week,30-60 minutes per week,twice per week,Weekly,Weekly,Seldom,Seldom,"Yes, I did in the past.",Would definitely go,Individual counseling or therapy,Marriage or family counseling,,,,,,,,,$100K-$199K,$400K-$499K,$400K-$499K,0,Yes,3rd year residency (PGY3),Satisfied,Sometimes,Never,I do.,I do.,,0,Hospital/Multi-physician group,0,emergency medicine,,,,3 weeks,Never,Twice a year,Strongly agree,,Strongly agree,"Events, activities and active check-ins",10,No,Yes,No,33,Male,Man,Female,Woman,Northeast,
